_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,ageunder16,age16-24,age25-34,age35-44,age45-54,age55-64,age65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage
57,18-Sep,All Population,56,499,1204,883,1037,9341,1721,1171,1604,1873,1487,1020,465,5696,3564,81,100.00%
58,18-Sep,Chronic,13,30,327,275,123,2716,244,362,331,472,548,497,262,1735,946,35,29.10%
59,18-Sep,Refugees,17,20,648,710,266,3304,1272,326,575,725,291,92,23,1657,1636,11,35.40%
60,18-Sep,Families,11,19,646,678,185,3221,1720,284,389,574,211,30,13,1362,1859,0,34.50%
61,18-Sep,Youth,10,46,92,29,145,886,0,886,0,0,0,0,0,514,327,45,9.50%
62,18-Sep,Single Adult,35,434,466,176,707,5234,0,0,1215,1299,1276,990,452,3820,1378,36,56.00%
63,18-Sep,Non-refugees,39,479,556,173,771,6037,449,845,1029,1148,1196,928,442,4039,1928,70,64.60%
64,18-Oct,All Population,68,445,1022,749,933,9144,1609,1180,1584,1819,1442,1033,477,5609,3448,87,100.00%
65,18-Oct,Chronic,12,35,435,227,96,2868,299,370,365,493,552,506,283,1819,1010,39,31.40%
66,18-Oct,Refugees,17,39,494,526,182,3142,1151,330,577,684,282,90,28,1596,1534,12,34.40%
67,18-Oct,Families,21,28,462,551,127,3053,1605,276,382,535,208,31,16,1278,1775,0,33.40%
68,18-Oct,Youth,13,51,114,33,111,902,0,902,0,0,0,0,0,524,333,45,9.90%
69,18-Oct,Single Adult,34,366,446,165,695,5189,0,0,1202,1284,1234,1002,461,3807,1340,42,56.70%
70,18-Oct,Non-refugees,51,406,528,223,751,6002,458,850,1007,1135,1160,943,449,4013,1914,75,65.60%
71,18-Nov,All Population,79,639,1308,675,871,9557,1656,1190,1713,1890,1573,1060,475,5899,3556,102,100.00%
72,18-Nov,Chronic,15,32,329,258,105,2840,286,368,354,488,557,517,270,1822,981,37,29.70%
73,18-Nov,Refugees,21,35,653,473,126,3249,1186,341,609,692,298,94,29,1663,1576,10,34.00%
74,18-Nov,Families,22,16,583,467,58,3153,1652,285,395,547,220,38,16,1334,1817,2,33.00%
75,18-Nov,Youth,7,57,106,44,109,903,0,903,0,0,0,0,0,535,320,48,9.40%
76,18-Nov,Single Adult,50,566,619,164,704,5501,0,0,1318,1343,1353,1022,459,4030,1419,52,57.60%
77,18-Nov,Non-refugees,58,604,655,202,745,6308,470,849,1104,1198,1275,966,446,4236,1980,92,66.00%
78,18-Dec,All Population,68,553,1152,661,844,9782,1708,1207,1794,1923,1602,1092,456,6046,3636,100,100.00%
79,18-Dec,Chronic,10,40,370,237,111,2906,292,371,379,488,578,522,276,1860,1009,37,29.70%
80,18-Dec,Refugees,19,29,593,473,121,3294,1213,357,607,697,301,91,28,1676,1608,10,33.70%
81,18-Dec,Families,19,11,603,457,78,3258,1708,300,410,570,222,33,15,1381,1876,1,33.30%
82,18-Dec,Youth,12,55,97,33,106,906,0,906,0,0,0,0,0,544,317,45,9.30%
83,18-Dec,Single Adult,37,487,452,171,660,5618,0,0,1384,1353,1380,1059,441,4121,1443,54,57.40%
84,18-Dec,Non-refugees,49,524,559,188,723,6488,495,850,1187,1226,1301,1001,428,4370,2028,90,66.30%
85,19-Jan,All Population,67,563,1106,578,840,10029,1738,1264,1806,1962,1672,1114,473,6183,3740,106,100.00%
86,19-Jan,Chronic,11,27,532,228,110,3053,369,394,384,505,589,534,278,1936,1076,41,30.40%
87,19-Jan,Refugees,19,32,507,395,139,3309,1217,382,558,700,324,98,30,1676,1620,13,33.00%
88,19-Jan,Families,15,19,487,380,75,3197,1672,313,372,567,224,35,14,1352,1843,2,31.90%
89,19-Jan,Youth,13,60,111,50,94,950,0,950,0,0,0,0,0,567,339,44,9.50%
90,19-Jan,Single Adult,39,484,508,148,671,5882,0,0,1434,1395,1448,1079,459,4264,1558,60,58.60%
91,19-Jan,Non-refugees,48,531,599,183,701,6720,521,882,1248,1262,1348,1016,443,4507,2120,93,67.00%
92,19-Feb,All Population,63,540,1021,700,907,9982,1676,1233,1777,1979,1659,1174,484,6125,3750,107,100.00%
93,19-Feb,Chronic,14,30,388,274,97,3083,379,394,378,510,593,554,275,1956,1087,40,30.90%
94,19-Feb,Refugees,15,26,499,504,139,3202,1179,348,540,689,306,106,34,1593,1597,12,32.10%
95,19-Feb,Families,6,9,456,498,70,3104,1602,298,379,556,219,34,16,1304,1798,2,31.10%
96,19-Feb,Youth,10,46,108,54,108,935,0,935,0,0,0,0,0,547,342,46,9.40%
97,19-Feb,Single Adult,47,485,457,148,729,5943,0,0,1398,1423,1440,1140,468,4274,1610,59,59.50%
98,19-Feb,Non-refugees,48,514,522,196,768,6780,497,885,1237,1290,1353,1068,450,4532,2153,95,67.90%
99,19-Mar,All Population,58,532,1162,719,923,10043,1687,1238,1804,2002,1654,1179,479,6161,3773,109,100.00%
100,19-Mar,Chronic,12,28,551,289,91,3287,441,412,407,552,617,574,284,2066,1182,39,32.70%
101,19-Mar,Refugees,9,26,573,500,136,3171,1182,339,540,673,317,89,31,1587,1571,13,31.60%
102,19-Mar,Families,3,17,551,491,81,3106,1614,292,392,538,226,27,17,1293,1812,1,30.90%
103,19-Mar,Youth,15,53,126,48,115,945,0,945,0,0,0,0,0,560,338,47,9.40%
104,19-Mar,Single Adult,40,462,485,180,727,5992,0,0,1412,1464,1428,1152,462,4308,1623,61,59.70%
105,19-Mar,Non-refugees,49,506,589,219,787,6872,505,899,1264,1329,1337,1090,448,4574,2202,96,68.40%
106,19-Apr,All Population,86,547,1121,704,907,10142,1730,1243,1815,1999,1680,1189,486,6230,3807,105,100.00%
107,19-Apr,Chronic,18,32,409,287,89,3308,431,408,415,562,631,577,284,2075,1193,40,32.60%
108,19-Apr,Refugees,29,37,567,471,109,3219,1208,330,522,699,337,93,30,1605,1600,14,31.70%
109,19-Apr,Families,31,28,541,468,54,3182,1650,292,391,565,237,31,16,1335,1846,1,31.40%
110,19-Apr,Youth,15,60,107,49,109,951,0,951,0,0,0,0,0,571,333,47,9.40%
111,19-Apr,Single Adult,40,459,473,187,744,6009,0,0,1424,1434,1443,1158,470,4324,1628,57,59.20%
112,19-Apr,Non-refugees,57,510,554,233,798,6923,522,913,1293,1300,1343,1096,456,4625,2207,91,68.30%
113,19-May,All Population,94,508,1221,678,1028,10184,1772,1225,1820,2057,1639,1174,497,6246,3833,105,100.00%
114,19-May,Chronic,30,29,459,304,105,3382,461,406,429,573,631,590,292,2110,1230,42,33.20%
115,19-May,Refugees,22,26,613,415,133,3323,1248,328,539,745,347,86,30,1676,1634,13,32.60%
116,19-May,Families,16,24,525,416,68,3267,1703,274,408,589,246,31,16,1397,1869,1,32.10%
117,19-May,Youth,21,47,157,59,146,950,0,950,0,0,0,0,0,563,338,49,9.30%
118,19-May,Single Adult,57,437,539,203,814,5967,0,0,1412,1468,1393,1143,481,4286,1626,55,58.60%
119,19-May,Non-refugees,72,482,608,263,895,6861,524,897,1281,1312,1292,1088,467,4570,2199,92,67.40%
120,19-Jun,All Population,73,459,1057,662,960,10100,1725,1270,1845,2064,1582,1125,489,6189,3812,99,100.00%
121,19-Jun,Chronic,15,26,436,306,121,3388,484,393,430,584,612,588,297,2105,1246,37,33.50%
122,19-Jun,Refugees,16,28,554,405,118,3392,1241,352,552,787,343,88,29,1714,1663,15,33.60%
123,19-Jun,Families,12,7,365,417,71,3156,1654,272,382,571,230,32,15,1347,1808,1,31.20%
124,19-Jun,Youth,18,57,151,50,106,998,0,998,0,0,0,0,0,585,367,46,9.90%
125,19-Jun,Single Adult,43,395,541,195,783,5946,0,0,1463,1493,1352,1093,474,4257,1637,52,58.90%
126,19-Jun,Non-refugees,57,431,503,257,842,6708,484,918,1293,1277,1239,1037,460,4475,2149,84,66.40%
127,19-Jul,All Population,63,430,1037,803,1218,9558,1657,1246,1714,1932,1464,1083,462,5854,3613,91,100.00%
128,19-Jul,Chronic,13,35,366,318,150,3314,439,403,401,584,616,574,297,2080,1194,40,34.70%
129,19-Jul,Refugees,8,29,564,582,122,3286,1187,341,541,762,335,95,25,1695,1580,11,34.40%
130,19-Jul,Families,7,22,457,565,72,3007,1586,260,363,531,217,37,13,1303,1703,1,31.50%
131,19-Jul,Youth,20,54,128,50,147,984,0,984,0,0,0,0,0,594,347,43,10.30%
132,19-Jul,Single Adult,36,354,452,188,999,5567,0,0,1351,1401,1247,1046,449,3957,1563,47,58.20%
133,19-Jul,Non-refugees,55,401,473,221,1096,6272,470,905,1173,1170,1129,988,437,4159,2033,80,65.60%
134,19-Aug,All Population,60,434,1058,783,944,9322,1607,1220,1614,1891,1426,1096,468,5684,3549,89,100.00%
135,19-Aug,Chronic,12,32,381,285,102,3336,425,396,415,586,616,596,302,2084,1213,39,35.80%
136,19-Aug,Refugees,11,29,547,589,127,3153,1118,350,501,738,317,103,26,1589,1554,10,33.80%
137,19-Aug,Families,3,20,467,570,35,2900,1528,258,347,509,207,39,12,1229,1670,1,31.10%
138,19-Aug,Youth,17,33,133,43,133,961,0,961,0,0,0,0,0,570,349,42,10.30%
139,19-Aug,Single Adult,40,381,458,170,776,5461,0,0,1267,1382,1219,1057,456,3885,1530,46,58.60%
140,19-Aug,Non-refugees,49,405,511,194,817,6169,489,870,1113,1153,1109,993,442,4095,1995,79,66.20%
141,19-Sep,All Population,81,403,1115,834,898,9141,1559,1256,1549,1831,1413,1069,464,5574,3484,83,100.00%
142,19-Sep,Chronic,14,36,408,303,161,3299,423,398,402,587,603,597,289,2053,1207,39,36.10%
143,19-Sep,Refugees,21,29,636,615,126,3094,1057,380,496,709,318,105,29,1565,1519,10,33.80%
144,19-Sep,Families,31,18,533,608,63,2817,1471,266,330,497,202,39,12,1193,1624,0,30.80%
145,19-Sep,Youth,15,47,133,28,116,989,0,989,0,0,0,0,0,582,371,36,10.80%
146,19-Sep,Single Adult,35,338,449,198,719,5335,0,0,1219,1334,1211,1030,452,3799,1489,47,58.40%
147,19-Sep,Non-refugees,60,374,479,219,772,6047,502,876,1053,1122,1095,964,435,4009,1965,73,66.20%
148,19-Oct,All Population,69,498,1038,616,868,9206,1549,1219,1553,1890,1418,1106,471,5652,3466,88,100.00%
149,19-Oct,Chronic,11,51,321,281,133,3275,407,384,399,568,605,618,294,2054,1178,43,35.60%
150,19-Oct,Refugees,3,31,559,363,131,3189,1075,378,523,743,332,110,28,1619,1559,11,34.60%
151,19-Oct,Families,6,17,424,412,80,2775,1464,244,311,518,188,39,11,1182,1593,0,30.10%
152,19-Oct,Youth,13,39,114,40,119,975,0,975,0,0,0,0,0,572,366,37,10.60%
153,19-Oct,Single Adult,50,442,500,164,669,5456,0,0,1242,1372,1230,1067,460,3898,1507,51,59.30%
154,19-Oct,Non-refugees,66,467,479,253,737,6017,474,841,1030,1147,1086,996,443,4033,1907,77,65.40%
155,19-Nov,All Population,82,658,1036,632,812,9457,1475,1185,1642,2004,1495,1163,493,5834,3530,93,100.00%
156,19-Nov,Chronic,12,68,379,237,138,3320,390,390,424,595,600,622,299,2093,1184,43,35.10%
157,19-Nov,Refugees,21,43,463,448,126,3133,1021,359,534,743,333,119,24,1574,1549,10,33.10%
158,19-Nov,Families,20,16,346,446,69,2638,1395,226,297,499,173,38,10,1081,1557,0,27.90%
159,19-Nov,Youth,11,48,104,29,137,957,0,957,0,0,0,0,0,572,350,35,10.10%
160,19-Nov,Single Adult,51,594,586,157,606,5862,0,0,1345,1505,1322,1125,483,4181,1623,58,62.00%
161,19-Nov,Non-refugees,61,615,573,184,686,6324,454,826,1108,1261,1162,1044,469,4260,1981,83,66.90%
162,19-Dec,All Population,77,603,1152,584,732,9914,1480,1216,1786,2101,1590,1225,516,6102,3712,100,100.00%
163,19-Dec,Chronic,15,49,413,207,113,3459,396,418,459,622,622,638,304,2173,1242,44,34.90%
164,19-Dec,Refugees,20,31,584,427,107,3229,1034,377,562,759,343,129,25,1602,1616,11,32.60%
165,19-Dec,Families,14,14,455,387,71,2661,1401,232,316,484,176,42,10,1078,1583,0,26.80%
166,19-Dec,Youth,15,53,107,30,102,983,0,983,0,0,0,0,0,585,360,38,9.90%
167,19-Dec,Single Adult,48,536,590,167,559,6270,0,0,1470,1617,1414,1183,506,4439,1769,62,63.20%
168,19-Dec,Non-refugees,57,572,568,157,625,6685,446,839,1224,1342,1247,1096,491,4500,2096,89,67.40%
169,20-Jan,All Population,64,487,901,567,845,9916,1440,1227,1793,2100,1614,1238,504,6083,3737,96,100.00%
170,20-Jan,Chronic,12,47,412,225,133,3547,429,432,461,635,630,653,307,2224,1281,42,35.00%
171,20-Jan,Refugees,15,25,407,392,107,2941,969,341,503,674,306,121,27,1403,1528,10,29.70%
172,20-Jan,Families,15,10,345,380,75,2706,1438,238,321,469,186,45,9,1083,1623,0,27.30%
173,20-Jan,Youth,8,46,103,27,96,987,0,987,0,0,0,0,0,584,364,39,10.00%
174,20-Jan,Single Adult,41,431,453,160,674,6223,0,0,1472,1631,1428,1193,495,4416,1750,57,62.80%
175,20-Jan,Non-refugees,49,462,494,175,738,6975,471,886,1290,1426,1308,1117,477,4680,2209,86,70.30%
176,20-Feb,All Population,76,512,959,601,968,9834,1434,1185,1807,2102,1574,1221,511,6035,3695,104,100.00%
177,20-Feb,Chronic,13,28,398,287,144,3519,408,442,450,619,616,665,319,2219,1257,43,34.70%
178,20-Feb,Refugees,19,28,422,394,107,2902,961,334,486,688,303,104,26,1381,1514,7,29.50%
179,20-Feb,Families,21,19,415,425,49,2686,1434,226,331,467,180,39,9,1077,1609,0,27.30%
180,20-Feb,Youth,4,48,90,41,114,957,0,957,0,0,0,0,0,567,354,36,9.70%
181,20-Feb,Single Adult,51,445,454,135,805,6191,0,0,1476,1635,1394,1182,502,4391,1732,68,63.00%
182,20-Feb,Non-refugees,57,484,537,207,861,6932,473,851,1321,1414,1271,1117,485,4654,2181,97,70.50%
183,20-Mar,All Population,89,479,900,660,891,9680,1380,1135,1799,2055,1599,1206,506,5965,3606,109,100.00%
184,20-Mar,Chronic,12,26,457,323,140,3547,424,441,462,635,630,640,315,2237,1268,42,35.80%
185,20-Mar,Refugees,28,27,329,399,85,2787,896,319,474,660,301,111,26,1350,1430,7,28.80%
186,20-Mar,Families,27,23,370,435,46,2636,1379,230,335,444,186,52,10,1102,1534,0,27.20%
187,20-Mar,Youth,12,39,96,59,119,905,0,905,0,0,0,0,0,535,338,32,9.40%
188,20-Mar,Single Adult,50,417,434,166,726,6139,0,0,1464,1611,1413,1154,496,4328,1734,77,63.40%
189,20-Mar,Non-refugees,61,452,571,261,806,6893,484,816,1325,1395,1298,1095,480,4615,2176,102,71.20%
190,20-Apr,All Population,67,349,469,600,961,8935,1234,1050,1659,1859,1518,1126,489,5507,3330,98,100.00%
191,20-Apr,Chronic,21,21,428,307,121,3546,384,452,477,652,631,633,317,2252,1252,42,43.10%
192,20-Apr,Refugees,15,20,100,362,98,2452,767,282,430,576,281,95,21,1186,1260,6,30.50%
193,20-Apr,Families,17,27,187,383,61,2514,1226,223,339,425,212,66,23,1080,1431,3,31.20%
194,20-Apr,Youth,8,34,52,50,98,829,0,829,0,0,0,0,0,495,307,27,10.30%
195,20-Apr,Single Adult,42,288,230,167,802,5593,0,0,1320,1434,1306,1060,466,3932,1592,68,58.50%
196,20-Apr,Non-refugees,52,329,369,238,863,6483,467,768,1229,1283,1237,1031,468,4321,2070,92,69.50%
197,20-May,All Population,57,407,390,497,1015,8207,1093,964,1482,1669,1406,1117,476,5056,3051,100,100.00%
198,20-May,Chronic,22,29,452,256,145,3623,393,449,493,687,627,649,325,2299,1283,41,43.20%
199,20-May,Refugees,9,18,66,279,86,2172,684,259,363,498,254,91,23,1066,1099,7,26.50%
200,20-May,Families,15,20,123,324,69,2217,1037,193,299,370,212,72,34,984,1228,5,27.00%
201,20-May,Youth,11,28,44,29,99,769,0,769,0,0,0,0,0,453,291,25,9.40%
202,20-May,Single Adult,31,359,223,144,847,5221,0,0,1183,1299,1194,1045,442,3619,1532,70,63.60%
203,20-May,Non-refugees,48,389,324,218,929,6035,409,705,1119,1171,1152,1026,453,3990,1952,93,73.50%
204,20-Jun,All Population,48,324,368,434,798,7668,993,889,1370,1569,1328,1053,466,4747,2822,99,100.00%
205,20-Jun,Chronic,19,36,450,268,125,3704,414,448,510,690,653,657,332,2350,1315,39,47.10%
206,20-Jun,Refugees,12,16,43,229,93,1917,599,229,319,441,225,77,27,961,945,11,25.00%
207,20-Jun,Families,12,29,133,266,94,2089,961,187,256,366,209,70,40,940,1144,5,27.20%
208,20-Jun,Youth,11,41,45,39,85,701,0,701,0,0,0,0,0,413,259,29,9.10%
209,20-Jun,Single Adult,25,254,190,129,619,4878,0,0,1114,1203,1119,983,426,3394,1419,65,63.60%
210,20-Jun,Non-refugees,36,308,325,205,705,5751,394,660,1051,1128,1103,976,439,3786,1877,88,75.00%
211,20-Jul,All Population,87,530,552,512,712,7552,911,878,1414,1548,1294,1037,470,4690,2760,102,100.00%
212,20-Jul,Chronic,27,29,414,302,170,3677,415,439,498,677,655,663,330,2351,1288,38,47.60%
213,20-Jul,Refugees,22,23,59,308,68,1643,498,209,274,366,195,75,26,828,804,11,21.80%
214,20-Jul,Families,29,42,164,326,52,1951,897,176,244,347,186,64,37,865,1080,6,25.80%
215,20-Jul,Youth,14,44,55,37,73,693,0,693,0,0,0,0,0,403,261,29,9.20%
216,20-Jul,Single Adult,44,444,333,149,587,4908,0,0,1170,1201,1108,973,433,3422,1419,67,65.00%
217,20-Jul,Non-refugees,65,507,493,204,644,5909,413,669,1140,1182,1099,962,444,3862,1956,91,78.20%
218,20-Aug,All Population,89,434,628,477,595,7580,879,891,1459,1552,1304,1032,463,4707,2766,107,100.00%
219,20-Aug,Chronic,21,39,504,308,120,3782,440,446,516,715,686,658,321,2416,1319,47,50.60%
220,20-Aug,Refugees,28,21,79,224,50,1487,449,191,250,330,178,65,24,757,718,12,19.60%
221,20-Aug,Families,23,45,213,264,72,1881,872,186,243,323,169,57,31,831,1045,5,24.80%
222,20-Aug,Youth,18,32,81,43,75,697,0,697,0,0,0,0,0,409,261,27,9.20%
223,20-Aug,Single Adult,48,357,334,170,448,5002,0,0,1216,1229,1135,975,432,3467,1460,75,66.00%
224,20-Aug,Non-refugees,61,413,549,253,545,6093,430,700,1209,1222,1126,967,439,3950,2048,95,80.40%
225,20-Sep,All Population,82,385,595,522,584,7572,806,895,1434,1554,1310,1080,493,4709,2757,106,100.00%
226,20-Sep,Chronic,11,38,374,356,102,3776,377,411,540,715,709,690,334,2431,1299,46,49.90%
227,20-Sep,Refugees,19,24,64,284,50,1412,381,191,257,311,176,70,26,755,642,15,18.70%
228,20-Sep,Families,16,22,217,332,71,1615,803,175,217,259,119,31,11,662,952,1,21.30%
229,20-Sep,Youth,14,43,87,47,68,713,0,713,0,0,0,0,0,427,267,19,9.40%
230,20-Sep,Single Adult,52,320,291,143,445,5244,0,0,1217,1295,1191,1049,482,3620,1538,86,69.30%
231,20-Sep,Non-refugees,63,361,531,238,534,6160,425,704,1177,1243,1134,1010,467,3954,2115,91,81.40%
232,20-Oct,All Population,88,431,636,444,721,7506,764,891,1385,1519,1319,1110,518,4721,2679,106,100.00%
233,20-Oct,Chronic,24,44,296,289,126,3695,301,382,541,701,709,707,354,2418,1232,45,49.20%
234,20-Oct,Refugees,22,18,49,206,71,1215,305,170,229,268,157,63,23,652,550,13,16.20%
235,20-Oct,Families,25,19,210,264,90,1463,735,169,194,218,110,26,11,587,875,1,19.50%
236,20-Oct,Youth,14,33,95,38,71,721,0,721,0,0,0,0,0,433,265,23,9.60%
237,20-Oct,Single Adult,49,379,331,142,560,5323,0,0,1191,1301,1209,1084,507,3701,1539,82,70.90%
238,20-Oct,Non-refugees,66,413,587,238,650,6291,459,721,1156,1251,1162,1047,495,4069,2129,93,83.80%
239,20-Nov,All Population,53,486,598,405,606,7586,710,889,1429,1572,1347,1135,504,4814,2663,109,100.00%
240,20-Nov,Chronic,12,32,209,250,127,3552,238,365,497,675,706,723,348,2358,1146,48,46.80%
241,20-Nov,Refugees,6,30,50,147,56,1096,258,163,215,240,139,63,18,600,483,13,14.50%
242,20-Nov,Families,9,11,186,240,64,1359,679,174,184,185,105,26,6,553,806,0,17.90%
243,20-Nov,Youth,11,40,69,40,71,714,0,714,0,0,0,0,0,431,260,23,9.40%
244,20-Nov,Single Adult,33,435,343,125,471,5513,0,0,1245,1387,1242,1109,498,3830,1597,86,72.70%
245,20-Nov,Non-refugees,47,456,548,258,550,6490,452,726,1214,1332,1208,1072,486,4214,2180,96,85.60%
246,20-Dec,All Population,91,484,621,375,606,7741,661,887,1474,1616,1382,1184,537,4977,2649,115,100.00%
247,20-Dec,Chronic,20,35,212,202,71,3533,205,357,496,684,710,726,355,2353,1128,52,45.60%
248,20-Dec,Refugees,28,21,61,131,51,1024,226,160,197,226,132,63,20,570,442,12,13.20%
249,20-Dec,Families,23,27,161,215,64,1288,633,158,177,178,100,33,9,537,751,0,16.60%
250,20-Dec,Youth,16,39,80,29,71,729,0,729,0,0,0,0,0,440,264,25,9.40%
251,20-Dec,Single Adult,52,418,380,131,471,5724,0,0,1297,1438,1282,1151,528,4000,1634,90,73.90%
252,20-Dec,Non-refugees,63,463,560,244,555,6717,435,727,1277,1390,1250,1121,517,4407,2207,103,86.80%
253,21-Jan,All Population,84,425,647,346,660,7829,619,892,1501,1664,1403,1204,546,5037,2662,130,100.00%
