year,attribute,response,synth_count,ref_prop,synth_prop
2018,language,Neither English or French,721,0.0871,0.0854
2018,language,No preference,537,0.0621,0.0636
2018,location_tonight,Emergency shelter,4925,0.5807,0.5835
2018,location_tonight,Transitional housing,1350,0.16,0.1599
2018,location_tonight,Motel / Hotel,749,0.0893,0.0887
2018,location_tonight,Someone else's Place,615,0.0743,0.0729
2018,location_tonight,Institution,397,0.0486,0.047
2018,location_tonight,Unsheltered,187,0.0236,0.0222
2018,location_tonight,Unsure,108,0.0114,0.0128
2018,location_tonight,Other,70,0.0079,0.0083
2018,location_tonight,"Makeshift Shelter, Tent or Shack",26,0.0029,0.0031
2018,location_tonight,Vehicle,14,0.0014,0.0017
2018,military_service,Did not serve in Canadian military and/or RCMP,7958,0.9414,0.9428
2018,military_service,Served in Canadian military and/or RCMP,483,0.0586,0.0572
2018,num_health_conditions,2 health conditions,2868,0.3379,0.3398
2018,num_health_conditions,1 health condition,2694,0.3114,0.3192
2018,num_health_conditions,3 health conditions,1839,0.2236,0.2179
2018,num_health_conditions,4 health conditions,1040,0.1271,0.1232
2018,racial_identity,Non-racialized,4361,0.5143,0.5166
2018,racial_identity,Racialized,4080,0.4857,0.4834
2018,reason_came_to_ottawa,Unknown,8441,0.0,1.0
2018,reasons_not_in_shelter,Unknown,8441,0.0,1.0
2018,sexual_orientation,Heterosexual,7580,0.8979,0.898
2018,sexual_orientation,"Gay, lesbian and other",861,0.1021,0.102
2018,shelter_past_year,Yes,6970,0.8336,0.8257
2018,shelter_past_year,No,1471,0.1664,0.1743
2018,support_needs,Unknown,8441,0.0,1.0
2018,time_in_canada,Over 5 years,4010,0.475,0.4751
2018,time_in_canada,Under 1 year,3414,0.4057,0.4045
2018,time_in_canada,1 to 5 years,1017,0.1193,0.1205
2018,time_in_ottawa,Under 1 year,2853,0.3286,0.338
2018,time_in_ottawa,Over 5 years,2409,0.2964,0.2854
2018,time_in_ottawa,Always been in Ottawa,1687,0.1993,0.1999
2018,time_in_ottawa,1 to 5 years,1492,0.1757,0.1768
2018,want_permanent_housing,Unknown,8441,0.0,1.0
2019,acquired_brain_injury,No,6537,0.7485,0.751
2019,acquired_brain_injury,Yes,2167,0.2515,0.249
2019,age_first_homeless,25 to 49 years old,3764,0.4307,0.4324
2019,age_first_homeless,13 to 17 years old,2481,0.2852,0.285
2019,age_first_homeless,18 to 24 years old,1235,0.1375,0.1419
2019,age_first_homeless,50 to 64 years old,817,0.0951,0.0939
2019,age_first_homeless,Under 12 years old,291,0.0383,0.0334
2019,age_first_homeless,Over 65 years old,116,0.0133,0.0133
2019,age_group,25 to 49 years old,5102,0.5935,0.5862
2019,age_group,50 to 64 years old,2153,0.2407,0.2474
2019,age_group,18 to 24 years old,800,0.0914,0.0919
2019,age_group,Over 65 years old,330,0.0387,0.0379
2019,age_group,13 to 17 years old,319,0.0356,0.0366
2019,cause_housing_loss,Other,902,0.1043,0.1036
2019,cause_housing_loss,Substance use,890,0.1071,0.1023
2019,cause_housing_loss,Conflict with spouse/partner,699,0.081,0.0803
2019,cause_housing_loss,Incarceration (prison or jail),671,0.077,0.0771
2019,cause_housing_loss,Not enough income for housing,521,0.0622,0.0599
2019,cause_housing_loss,Unsafe housing,468,0.0552,0.0538
2019,cause_housing_loss,Health issue,459,0.0495,0.0527
2019,cause_housing_loss,Conflict with parent/guardian,452,0.0515,0.0519
2019,cause_housing_loss,Unable to pay rent or mortgage,452,0.0519,0.0519
2019,cause_housing_loss,Experienced abuse by spouse/partner,362,0.0405,0.0416
2019,cause_housing_loss,Left country/fleeing war,345,0.0376,0.0396
2019,cause_housing_loss,Job loss,344,0.0395,0.0395
2019,cause_housing_loss,Substance use issue,333,0.0346,0.0383
2019,cause_housing_loss,Landlord/tenant conflict,229,0.0291,0.0263
2019,cause_housing_loss,Hospitalization or treatment program,226,0.0246,0.026
2019,cause_housing_loss,Relocation,204,0.0238,0.0234
2019,cause_housing_loss,Mental health issue,185,0.0182,0.0213
2019,cause_housing_loss,Experienced abuse by parent/guardian,177,0.0211,0.0203
2019,cause_housing_loss,Unfit/unsafe housing conditions,168,0.0204,0.0193
2019,cause_housing_loss,Evicted,142,0.0152,0.0163
2019,cause_housing_loss,Conflict with roomate,80,0.009,0.0092
2019,cause_housing_loss,"Complaint (eg. pets, noise, damage)",68,0.0085,0.0078
2019,cause_housing_loss,Departure of family member,57,0.0062,0.0065
2019,cause_housing_loss,Building sold/renovated,52,0.0062,0.006
2019,cause_housing_loss,Physical health issue,51,0.007,0.0059
2019,cause_housing_loss,Experienced abuse by other (unspecified),42,0.0045,0.0048
2019,cause_housing_loss,Conflict with other (unspecified),32,0.0042,0.0037
2019,cause_housing_loss,Conflict with family member,29,0.0025,0.0033
2019,cause_housing_loss,Experienced discrimination,29,0.0035,0.0033
2019,cause_housing_loss,Death of family member,15,0.002,0.0017
2019,cause_housing_loss,House fire,8,0.0007,0.0009
2019,cause_housing_loss,Owner moved in,6,0.0005,0.0007
2019,cause_housing_loss,Home takeover,6,0.0007,0.0007
2019,citizenship,Canadian citizen,7618,0.8769,0.8752
2019,citizenship,Permanent resident,768,0.0881,0.0882
2019,citizenship,Refugee claimant,274,0.0299,0.0315
2019,citizenship,Other,27,0.003,0.0031
2019,citizenship,Temporary foreign worker,17,0.0022,0.002
2019,covid_housing_loss,No,7399,0.8507,0.8501
2019,covid_housing_loss,Yes,1305,0.1493,0.1499
2019,dependents_tonight,Accompanied by dependent(s),8704,1.0,1.0
2019,duration_homeless_past_year,More than 180 days,5360,0.6119,0.6158
2019,duration_homeless_past_year,Less than 180 days,3344,0.3881,0.3842
2019,education,Less than high school,3361,0.3851,0.3861
2019,education,High school graduate,2322,0.2612,0.2668
2019,education,Post-secondary or higher,1921,0.2201,0.2207
2019,education,Some post-secondary,1100,0.1336,0.1264
2019,episodes_homeless_past_year,Less than 3 episodes of homelessness,7139,0.8157,0.8202
2019,episodes_homeless_past_year,3 or more episodes of homelessness,1565,0.1843,0.1798
2019,family_members_tonight,Accompanied by family member(s) or other(s),8704,1.0,1.0
2019,foster_care,No,6373,0.7337,0.7322
2019,foster_care,Yes,2331,0.2663,0.2678
2019,foster_care_how_long_ago,5 or more years,6702,0.7621,0.77
2019,foster_care_how_long_ago,2 to 5 years,1214,0.1479,0.1395
2019,foster_care_how_long_ago,1 year or less,788,0.09,0.0905
2019,foster_care_to_homeless,More than 1 year,4622,0.541,0.531
2019,foster_care_to_homeless,1 year or less,4082,0.459,0.469
2019,gender,Men,6479,0.7431,0.7444
2019,gender,Women,1918,0.2191,0.2204
2019,gender,Non-binary and other identities,307,0.0378,0.0353
2019,health_challenges,Mental health issue,2426,0.2866,0.2787
2019,health_challenges,Addiction,2026,0.221,0.2328
2019,health_challenges,Medical condition,1822,0.2109,0.2093
2019,health_challenges,Physical disability,935,0.1062,0.1074
2019,health_challenges,Substance use issue,723,0.0841,0.0831
2019,health_challenges,Learning/cognitive limitation,423,0.0488,0.0486
2019,health_challenges,Physical limitation,349,0.0425,0.0401
2019,housing_challenges,Low income,1863,0.209,0.214
2019,housing_challenges,Rents too high,1829,0.2179,0.2101
2019,housing_challenges,Addiction,799,0.0851,0.0918
2019,housing_challenges,No income assistance,672,0.0761,0.0772
2019,housing_challenges,Mental health,599,0.0679,0.0688
2019,housing_challenges,Discrimination,549,0.0657,0.0631
2019,housing_challenges,Poor housing conditions,543,0.0642,0.0624
2019,housing_challenges,Criminal history,414,0.0455,0.0476
2019,housing_challenges,Health/disability,390,0.0455,0.0448
2019,housing_challenges,Family conflict,254,0.0306,0.0292
2019,housing_challenges,Domestic violence,242,0.0261,0.0278
2019,housing_challenges,Lack of support,140,0.0172,0.0161
2019,housing_challenges,Children,108,0.0127,0.0124
2019,housing_challenges,Pets,107,0.0142,0.0123
2019,housing_challenges,Credit checks,71,0.0075,0.0082
2019,housing_challenges,Don't want housing,59,0.006,0.0068
2019,housing_challenges,Wait list for subsidized housing,44,0.0052,0.0051
2019,housing_challenges,Lack of housing stock,21,0.0037,0.0024
2019,housing_loss_how_long_ago,More than 180 days ago,5577,0.6336,0.6407
2019,housing_loss_how_long_ago,Less than 180 days ago,3127,0.3664,0.3593
2019,immigration_status,No,6458,0.7497,0.742
2019,immigration_status,"Yes, immigrant",1249,0.1385,0.1435
2019,immigration_status,"Yes, refugee or refugee claimant",997,0.1118,0.1145
2019,income_sources,Ontario Works,3841,0.432,0.4413
2019,income_sources,Disability benefit,2210,0.259,0.2539
2019,income_sources,Employment,559,0.0595,0.0642
2019,income_sources,Seniors' benefits,357,0.0417,0.041
2019,income_sources,Other,355,0.0407,0.0408
2019,income_sources,Child and family tax benefits,249,0.0296,0.0286
2019,income_sources,GST/HST refund,214,0.0259,0.0246
2019,income_sources,Informal income (eg. bottle returns),207,0.0253,0.0238
2019,income_sources,Employment insurance,171,0.0193,0.0196
2019,income_sources,No income,147,0.0167,0.0169
2019,income_sources,Money from family/friends,133,0.0163,0.0153
2019,income_sources,Part-time employment,77,0.0104,0.0088
2019,income_sources,Full-time employment,75,0.0102,0.0086
2019,income_sources,Casual employment,60,0.0072,0.0069
2019,income_sources,Student loans,49,0.0062,0.0056
2019,language,English,6182,0.71,0.7102
2019,language,French,1238,0.1407,0.1422
2019,language,Neither English or French,744,0.0871,0.0855
2019,language,No preference,540,0.0621,0.062
2019,location_tonight,Emergency shelter,5092,0.5717,0.585
2019,location_tonight,Transitional housing,1228,0.1485,0.1411
2019,location_tonight,Motel / Hotel,535,0.0595,0.0615
2019,location_tonight,Unsheltered,430,0.0471,0.0494
2019,location_tonight,Someone else's Place,429,0.0495,0.0493
2019,location_tonight,Institution,417,0.05,0.0479
2019,location_tonight,Someone else's place,266,0.0361,0.0306
2019,location_tonight,Unsure,167,0.0196,0.0192
2019,location_tonight,Other,47,0.0052,0.0054
2019,location_tonight,Encampment,43,0.006,0.0049
2019,location_tonight,Motel/hotel (self-funded),30,0.0032,0.0034
2019,location_tonight,"Makeshift Shelter, Tent or Shack",14,0.0019,0.0016
2019,location_tonight,Vehicle,6,0.0017,0.0007
2019,military_service,Did not serve in Canadian military and/or RCMP,8241,0.9455,0.9468
2019,military_service,Served in Canadian military and/or RCMP,463,0.0545,0.0532
2019,num_health_conditions,2 health conditions,2625,0.2944,0.3016
2019,num_health_conditions,1 health condition,2409,0.2825,0.2768
2019,num_health_conditions,3 health conditions,1800,0.2035,0.2068
2019,num_health_conditions,4 health conditions,1139,0.1293,0.1309
2019,num_health_conditions,0 health conditions,463,0.0557,0.0532
2019,num_health_conditions,5 health conditions,268,0.0346,0.0308
2019,racial_identity,Racialized,4634,0.528,0.5324
2019,racial_identity,Non-racialized,4070,0.472,0.4676
2019,reason_came_to_ottawa,To access services and supports,1888,0.2104,0.2169
2019,reason_came_to_ottawa,Family moved here,1619,0.1881,0.186
2019,reason_came_to_ottawa,Other,1391,0.1567,0.1598
2019,reason_came_to_ottawa,To visit friends/family,929,0.1045,0.1067
2019,reason_came_to_ottawa,Employment (seeking),599,0.0664,0.0688
2019,reason_came_to_ottawa,To find housing,542,0.0619,0.0623
2019,reason_came_to_ottawa,Fear for safety,537,0.0664,0.0617
2019,reason_came_to_ottawa,To attend school,502,0.0604,0.0577
2019,reason_came_to_ottawa,To access emergency shelters,418,0.0522,0.048
2019,reason_came_to_ottawa,Employment (secured),244,0.0284,0.028
2019,reason_came_to_ottawa,Recreation/shopping,35,0.0045,0.004
2019,reasons_not_in_shelter,Fear for safety,3158,0.3642,0.3628
2019,reasons_not_in_shelter,Had other temporary housing,2206,0.2448,0.2534
2019,reasons_not_in_shelter,Crowded,1082,0.1224,0.1243
2019,reasons_not_in_shelter,Bed bugs & other pests,897,0.1134,0.1031
2019,reasons_not_in_shelter,Personal choice not to stay,729,0.0836,0.0838
2019,reasons_not_in_shelter,Turned away (shelters are full),372,0.041,0.0427
2019,reasons_not_in_shelter,Turned away (banned),260,0.0306,0.0299
2019,sexual_orientation,Heterosexual,7653,0.8807,0.8793
2019,sexual_orientation,"Gay, lesbian and other",928,0.1062,0.1066
2019,sexual_orientation,Don't know,123,0.0132,0.0141
2019,shelter_past_year,Yes,7041,0.807,0.8089
2019,shelter_past_year,No,1663,0.193,0.1911
2019,support_needs,Mental health,2203,0.247,0.2531
2019,support_needs,None of the above,2044,0.241,0.2348
2019,support_needs,Addiction or substance use,1569,0.1784,0.1803
2019,support_needs,Medical condition,1191,0.1366,0.1368
2019,support_needs,Physical disability,637,0.0724,0.0732
2019,support_needs,Learning disability,483,0.0567,0.0555
2019,support_needs,Brain injury,362,0.0425,0.0416
2019,support_needs,Pregnancy,215,0.0254,0.0247
2019,time_in_canada,Over 5 years,4582,0.5254,0.5264
2019,time_in_canada,Under 1 year,2590,0.3008,0.2976
2019,time_in_canada,1 to 5 years,1532,0.1738,0.176
2019,time_in_ottawa,Over 5 years,2690,0.3091,0.3091
2019,time_in_ottawa,Under 1 year,2642,0.2999,0.3035
2019,time_in_ottawa,Always been in Ottawa,1849,0.2105,0.2124
2019,time_in_ottawa,1 to 5 years,1523,0.1806,0.175
2019,want_permanent_housing,Yes,8376,0.9634,0.9623
2019,want_permanent_housing,No,328,0.0366,0.0377
2020,acquired_brain_injury,No,5374,0.7485,0.7489
2020,acquired_brain_injury,Yes,1802,0.2515,0.2511
2020,age_first_homeless,25 to 49 years old,3231,0.4385,0.4503
2020,age_first_homeless,13 to 17 years old,1880,0.2646,0.262
2020,age_first_homeless,18 to 24 years old,1159,0.1643,0.1615
2020,age_first_homeless,50 to 64 years old,564,0.0852,0.0786
2020,age_first_homeless,Under 12 years old,231,0.0329,0.0322
2020,age_first_homeless,Over 65 years old,111,0.0145,0.0155
2020,age_group,25 to 49 years old,4237,0.5949,0.5904
2020,age_group,50 to 64 years old,1726,0.2371,0.2405
2020,age_group,18 to 24 years old,679,0.0957,0.0946
2020,age_group,Over 65 years old,320,0.041,0.0446
2020,age_group,13 to 17 years old,214,0.0312,0.0298
2020,cause_housing_loss,Not enough income for housing,839,0.1244,0.1169
2020,cause_housing_loss,Conflict with spouse/partner,644,0.0849,0.0897
2020,cause_housing_loss,Substance use issue,499,0.0692,0.0695
2020,cause_housing_loss,Incarceration (prison or jail),498,0.0684,0.0694
2020,cause_housing_loss,Landlord/tenant conflict,403,0.0582,0.0562
2020,cause_housing_loss,Substance use,389,0.0536,0.0542
2020,cause_housing_loss,Conflict with parent/guardian,380,0.053,0.053
2020,cause_housing_loss,Experienced abuse by spouse/partner,337,0.0468,0.047
2020,cause_housing_loss,Other,335,0.0521,0.0467
2020,cause_housing_loss,Unfit/unsafe housing conditions,291,0.0408,0.0406
2020,cause_housing_loss,Relocation,258,0.0354,0.036
2020,cause_housing_loss,Mental health issue,249,0.0363,0.0347
2020,cause_housing_loss,Hospitalization or treatment program,221,0.0243,0.0308
2020,cause_housing_loss,Unsafe housing,195,0.0276,0.0272
2020,cause_housing_loss,Unable to pay rent or mortgage,192,0.026,0.0268
2020,cause_housing_loss,Health issue,176,0.0248,0.0245
2020,cause_housing_loss,Left country/fleeing war,139,0.0188,0.0194
2020,cause_housing_loss,Job loss,136,0.0198,0.019
2020,cause_housing_loss,Conflict with roomate,131,0.0179,0.0183
2020,cause_housing_loss,Experienced abuse by parent/guardian,128,0.0173,0.0178
2020,cause_housing_loss,"Complaint (eg. pets, noise, damage)",115,0.0169,0.016
2020,cause_housing_loss,Physical health issue,113,0.0139,0.0157
2020,cause_housing_loss,Building sold/renovated,109,0.0124,0.0152
2020,cause_housing_loss,Departure of family member,63,0.0124,0.0088
2020,cause_housing_loss,Evicted,62,0.0076,0.0086
2020,cause_housing_loss,Experienced discrimination,58,0.007,0.0081
2020,cause_housing_loss,Experienced abuse by other (unspecified),57,0.009,0.0079
2020,cause_housing_loss,Conflict with other (unspecified),54,0.0085,0.0075
2020,cause_housing_loss,Conflict with family member,52,0.005,0.0072
2020,cause_housing_loss,Death of family member,28,0.004,0.0039
2020,cause_housing_loss,House fire,11,0.0015,0.0015
2020,cause_housing_loss,Home takeover,10,0.0015,0.0014
2020,cause_housing_loss,Owner moved in,4,0.001,0.0006
2020,citizenship,Canadian citizen,6293,0.8769,0.877
2020,citizenship,Permanent resident,645,0.0881,0.0899
2020,citizenship,Refugee claimant,196,0.0299,0.0273
2020,citizenship,Other,23,0.003,0.0032
2020,citizenship,Temporary foreign worker,19,0.0022,0.0026
2020,covid_housing_loss,No,6107,0.8507,0.851
2020,covid_housing_loss,Yes,1069,0.1493,0.149
2020,dependents_tonight,Accompanied by dependent(s),7176,1.0,1.0
2020,duration_homeless_past_year,More than 180 days,4471,0.6224,0.623
2020,duration_homeless_past_year,Less than 180 days,2705,0.3776,0.377
2020,education,Less than high school,2812,0.3851,0.3919
2020,education,High school graduate,1858,0.2612,0.2589
2020,education,Post-secondary or higher,1548,0.2201,0.2157
2020,education,Some post-secondary,958,0.1336,0.1335
2020,episodes_homeless_past_year,Less than 3 episodes of homelessness,5863,0.8157,0.817
2020,episodes_homeless_past_year,3 or more episodes of homelessness,1313,0.1843,0.183
2020,family_members_tonight,Accompanied by family member(s) or other(s),7176,1.0,1.0
2020,foster_care,No,5289,0.7381,0.737
2020,foster_care,Yes,1887,0.2619,0.263
2020,foster_care_how_long_ago,5 or more years,5452,0.7621,0.7598
2020,foster_care_how_long_ago,2 to 5 years,1063,0.1479,0.1481
2020,foster_care_how_long_ago,1 year or less,661,0.09,0.0921
2020,foster_care_to_homeless,More than 1 year,3854,0.541,0.5371
2020,foster_care_to_homeless,1 year or less,3322,0.459,0.4629
2020,gender,Men,5424,0.7602,0.7559
2020,gender,Women,1458,0.1996,0.2032
2020,gender,Non-binary and other identities,294,0.0403,0.041
2020,health_challenges,Mental health issue,2061,0.2895,0.2872
2020,health_challenges,Medical condition,1414,0.1961,0.197
2020,health_challenges,Substance use issue,1261,0.1682,0.1757
2020,health_challenges,Addiction,780,0.1105,0.1087
2020,health_challenges,Learning/cognitive limitation,700,0.0975,0.0975
2020,health_challenges,Physical limitation,596,0.0851,0.0831
2020,health_challenges,Physical disability,364,0.0531,0.0507
2020,housing_challenges,Rents too high,1544,0.2179,0.2152
2020,housing_challenges,Low income,1461,0.209,0.2036
2020,housing_challenges,Addiction,623,0.0851,0.0868
2020,housing_challenges,No income assistance,563,0.0761,0.0785
2020,housing_challenges,Discrimination,514,0.0657,0.0716
2020,housing_challenges,Mental health,501,0.0679,0.0698
2020,housing_challenges,Poor housing conditions,443,0.0642,0.0617
2020,housing_challenges,Health/disability,339,0.0455,0.0472
2020,housing_challenges,Criminal history,321,0.0455,0.0447
2020,housing_challenges,Family conflict,214,0.0306,0.0298
2020,housing_challenges,Domestic violence,193,0.0261,0.0269
2020,housing_challenges,Lack of support,113,0.0172,0.0157
2020,housing_challenges,Pets,106,0.0142,0.0148
2020,housing_challenges,Children,88,0.0127,0.0123
2020,housing_challenges,Credit checks,47,0.0075,0.0065
2020,housing_challenges,Lack of housing stock,38,0.0037,0.0053
2020,housing_challenges,Wait list for subsidized housing,35,0.0052,0.0049
2020,housing_challenges,Don't want housing,33,0.006,0.0046
2020,housing_loss_how_long_ago,More than 180 days ago,4532,0.6336,0.6315
2020,housing_loss_how_long_ago,Less than 180 days ago,2644,0.3664,0.3685
2020,immigration_status,No,5494,0.7652,0.7656
2020,immigration_status,"Yes, immigrant",963,0.1334,0.1342
2020,immigration_status,"Yes, refugee or refugee claimant",719,0.1014,0.1002
2020,income_sources,Ontario Works,2695,0.3862,0.3756
2020,income_sources,Disability benefit,1967,0.2702,0.2741
2020,income_sources,Seniors' benefits,290,0.0391,0.0404
2020,income_sources,GST/HST refund,289,0.0353,0.0403
2020,income_sources,No income,264,0.0333,0.0368
2020,income_sources,Child and family tax benefits,258,0.0357,0.036
2020,income_sources,Informal income (eg. bottle returns),232,0.0305,0.0323
2020,income_sources,Other,220,0.0349,0.0307
2020,income_sources,Employment,216,0.0298,0.0301
2020,income_sources,Employment insurance,211,0.0272,0.0294
2020,income_sources,Full-time employment,164,0.0204,0.0229
2020,income_sources,Part-time employment,134,0.0209,0.0187
2020,income_sources,Money from family/friends,130,0.019,0.0181
2020,income_sources,Casual employment,93,0.0144,0.013
2020,income_sources,Student loans,13,0.0031,0.0018
2020,language,English,5190,0.71,0.7232
2020,language,French,968,0.1407,0.1349
2020,language,Neither English or French,594,0.0871,0.0828
2020,language,No preference,424,0.0621,0.0591
2020,location_tonight,Emergency shelter,4035,0.5627,0.5623
2020,location_tonight,Transitional housing,1013,0.1369,0.1412
2020,location_tonight,Someone else's place,518,0.0721,0.0722
2020,location_tonight,Unsheltered,489,0.0705,0.0681
2020,location_tonight,Institution,389,0.0515,0.0542
2020,location_tonight,Motel / Hotel,217,0.0298,0.0302
2020,location_tonight,Unsure,193,0.0277,0.0269
2020,location_tonight,Someone else's Place,157,0.0248,0.0219
2020,location_tonight,Encampment,81,0.0119,0.0113
2020,location_tonight,Motel/hotel (self-funded),50,0.0065,0.007
2020,location_tonight,Other,12,0.0026,0.0017
2020,location_tonight,"Makeshift Shelter, Tent or Shack",11,0.001,0.0015
2020,location_tonight,Vehicle,11,0.002,0.0015
2020,military_service,Did not serve in Canadian military and/or RCMP,6817,0.9496,0.95
2020,military_service,Served in Canadian military and/or RCMP,359,0.0504,0.05
2020,num_health_conditions,2 health conditions,1785,0.2509,0.2487
2020,num_health_conditions,1 health condition,1774,0.2536,0.2472
2020,num_health_conditions,3 health conditions,1309,0.1835,0.1824
2020,num_health_conditions,4 health conditions,993,0.1314,0.1384
2020,num_health_conditions,0 health conditions,810,0.1114,0.1129
2020,num_health_conditions,5 health conditions,505,0.0692,0.0704
2020,racial_identity,Racialized,4083,0.5704,0.569
2020,racial_identity,Non-racialized,3093,0.4296,0.431
2020,reason_came_to_ottawa,To access services and supports,1543,0.2104,0.215
2020,reason_came_to_ottawa,Family moved here,1273,0.1881,0.1774
2020,reason_came_to_ottawa,Other,1097,0.1567,0.1529
2020,reason_came_to_ottawa,To visit friends/family,772,0.1045,0.1076
2020,reason_came_to_ottawa,Employment (seeking),488,0.0664,0.068
2020,reason_came_to_ottawa,Fear for safety,482,0.0664,0.0672
2020,reason_came_to_ottawa,To find housing,455,0.0619,0.0634
2020,reason_came_to_ottawa,To attend school,430,0.0604,0.0599
2020,reason_came_to_ottawa,To access emergency shelters,394,0.0522,0.0549
2020,reason_came_to_ottawa,Employment (secured),208,0.0284,0.029
2020,reason_came_to_ottawa,Recreation/shopping,34,0.0045,0.0047
2020,reasons_not_in_shelter,Fear for safety,2607,0.3642,0.3633
2020,reasons_not_in_shelter,Had other temporary housing,1776,0.2448,0.2475
2020,reasons_not_in_shelter,Crowded,905,0.1224,0.1261
2020,reasons_not_in_shelter,Bed bugs & other pests,803,0.1134,0.1119
2020,reasons_not_in_shelter,Personal choice not to stay,587,0.0836,0.0818
2020,reasons_not_in_shelter,Turned away (shelters are full),279,0.041,0.0389
2020,reasons_not_in_shelter,Turned away (banned),219,0.0306,0.0305
2020,sexual_orientation,Heterosexual,6182,0.8635,0.8615
2020,sexual_orientation,"Gay, lesbian and other",806,0.1102,0.1123
2020,sexual_orientation,Don't know,188,0.0264,0.0262
2020,shelter_past_year,Yes,5640,0.7803,0.786
2020,shelter_past_year,No,1536,0.2197,0.214
2020,support_needs,Mental health,1808,0.247,0.252
2020,support_needs,None of the above,1755,0.241,0.2446
2020,support_needs,Addiction or substance use,1221,0.1784,0.1702
2020,support_needs,Medical condition,968,0.1366,0.1349
2020,support_needs,Physical disability,486,0.0724,0.0677
2020,support_needs,Learning disability,428,0.0567,0.0596
2020,support_needs,Brain injury,319,0.0425,0.0445
2020,support_needs,Pregnancy,191,0.0254,0.0266
2020,time_in_canada,Over 5 years,4126,0.5757,0.575
2020,time_in_canada,1 to 5 years,1631,0.2283,0.2273
