Date,Count_,TotalLengthOfStay,Category,ObjectId
2014/07/01 00:00:00+00,101,1899,Single Youth 18 Under,182
2014/07/01 00:00:00+00,241,18793,Family Units,183
2014/07/01 00:00:00+00,303,20008,Family Households,184
2014/06/01 00:00:00+00,2110,42389,All Clients,185
2014/06/01 00:00:00+00,1370,24539,All Singles,186
2014/06/01 00:00:00+00,816,19137,Family Household Members,187
2014/06/01 00:00:00+00,742,17850,Family Member,188
2014/06/01 00:00:00+00,74,1287,Offsite/Overflow Singles,189
2014/06/01 00:00:00+00,839,14535,Mens Shelter,190
2014/06/01 00:00:00+00,217,3904,Womens Shelter,191
2014/06/01 00:00:00+00,243,2786,Mixed-Gender,192
2014/06/01 00:00:00+00,106,2027,Youth Shelter,193
2014/06/01 00:00:00+00,972,17456,Single Adult Males,194
2014/06/01 00:00:00+00,289,5082,Single Adult Females,195
2014/06/01 00:00:00+00,109,2001,Single Youth 18 Under,196
2014/06/01 00:00:00+00,227,17850,Family Units,197
2014/06/01 00:00:00+00,300,19137,Family Households,198
2014/03/01 00:00:00+00,1942,41904,All Clients,199
2014/03/01 00:00:00+00,1302,25333,All Singles,200
2014/10/01 00:00:00+00,285,5299,Single Adult Females,201
2014/10/01 00:00:00+00,90,1599,Single Youth 18 Under,202
2014/10/01 00:00:00+00,274,23783,Family Units,203
2014/10/01 00:00:00+00,330,24808,Family Households,204
2014/09/01 00:00:00+00,2246,46924,All Clients,205
2014/09/01 00:00:00+00,1357,24730,All Singles,206
2014/09/01 00:00:00+00,953,23388,Family Household Members,207
2014/09/01 00:00:00+00,896,22247,Family Member,208
2014/09/01 00:00:00+00,60,1194,Offsite/Overflow Singles,209
2014/09/01 00:00:00+00,847,14624,Mens Shelter,210
2014/09/01 00:00:00+00,207,4095,Womens Shelter,211
2014/09/01 00:00:00+00,283,2896,Mixed-Gender,212
2014/09/01 00:00:00+00,95,1921,Youth Shelter,213
2014/09/01 00:00:00+00,992,17652,Single Adult Males,214
2014/09/01 00:00:00+00,271,5229,Single Adult Females,215
2014/09/01 00:00:00+00,94,1849,Single Youth 18 Under,216
2014/09/01 00:00:00+00,273,22247,Family Units,217
2014/09/01 00:00:00+00,330,23388,Family Households,218
2015/04/01 00:00:00+00,1997,40846,All Clients,219
2015/04/01 00:00:00+00,1303,23344,All Singles,220
2015/04/01 00:00:00+00,744,18385,Family Household Members,221
2015/04/01 00:00:00+00,697,17532,Family Member,222
2015/04/01 00:00:00+00,48,883,Offsite/Overflow Singles,223
2015/04/01 00:00:00+00,813,14354,Mens Shelter,224
2015/04/01 00:00:00+00,225,3848,Womens Shelter,225
2015/04/01 00:00:00+00,255,2392,Mixed-Gender,226
2015/04/01 00:00:00+00,93,1867,Youth Shelter,227
2015/04/01 00:00:00+00,939,16868,Single Adult Males,228
2015/04/01 00:00:00+00,295,5213,Single Adult Females,229
2015/04/01 00:00:00+00,69,1263,Single Youth 18 Under,230
2015/04/01 00:00:00+00,194,17532,Family Units,231
2015/04/01 00:00:00+00,241,18385,Family Households,232
2015/08/01 00:00:00+00,2239,45084,All Clients,233
2015/08/01 00:00:00+00,1335,24127,All Singles,234
2015/08/01 00:00:00+00,960,21969,Family Household Members,235
2015/08/01 00:00:00+00,908,21018,Family Member,236
2015/08/01 00:00:00+00,54,1012,Offsite/Overflow Singles,237
2015/08/01 00:00:00+00,828,14505,Mens Shelter,238
2015/08/01 00:00:00+00,198,3949,Womens Shelter,239
2015/08/01 00:00:00+00,266,2821,Mixed-Gender,240
2015/08/01 00:00:00+00,94,1840,Youth Shelter,241
2015/08/01 00:00:00+00,984,17388,Single Adult Males,242
2015/08/01 00:00:00+00,279,5397,Single Adult Females,243
2015/08/01 00:00:00+00,72,1342,Single Youth 18 Under,244
2015/08/01 00:00:00+00,249,21018,Family Units,245
2015/08/01 00:00:00+00,301,21969,Family Households,246
2015/12/01 00:00:00+00,2151,44364,All Clients,247
2015/12/01 00:00:00+00,1328,23738,All Singles,248
2015/12/01 00:00:00+00,878,21745,Family Household Members,249
2015/12/01 00:00:00+00,825,20626,Family Member,250
2015/07/01 00:00:00+00,224,19857,Family Units,251
2015/07/01 00:00:00+00,274,20794,Family Households,252
2015/06/01 00:00:00+00,2129,40713,All Clients,253
2015/06/01 00:00:00+00,1310,22704,All Singles,254
2015/06/01 00:00:00+00,879,19199,Family Household Members,255
2015/06/01 00:00:00+00,827,18049,Family Member,256
2015/06/01 00:00:00+00,54,1190,Offsite/Overflow Singles,257
2015/06/01 00:00:00+00,783,13403,Mens Shelter,258
2015/06/01 00:00:00+00,213,3625,Womens Shelter,259
2015/06/01 00:00:00+00,256,2624,Mixed-Gender,260
2015/06/01 00:00:00+00,101,1862,Youth Shelter,261
2015/06/01 00:00:00+00,919,16214,Single Adult Males,262
2015/06/01 00:00:00+00,307,5097,Single Adult Females,263
2015/06/01 00:00:00+00,84,1393,Single Youth 18 Under,264
2015/06/01 00:00:00+00,224,18049,Family Units,265
2015/06/01 00:00:00+00,276,19199,Family Households,266
2015/03/01 00:00:00+00,2037,42481,All Clients,267
2015/03/01 00:00:00+00,1274,23861,All Singles,268
2015/03/01 00:00:00+00,824,19439,Family Household Members,269
2015/03/01 00:00:00+00,767,18676,Family Member,270
2015/03/01 00:00:00+00,59,819,Offsite/Overflow Singles,271
2015/03/01 00:00:00+00,816,14968,Mens Shelter,272
2015/03/01 00:00:00+00,200,4034,Womens Shelter,273
2015/03/01 00:00:00+00,224,2196,Mixed-Gender,274
2015/03/01 00:00:00+00,91,1844,Youth Shelter,275
2015/03/01 00:00:00+00,929,17376,Single Adult Males,276
2015/03/01 00:00:00+00,278,5308,Single Adult Females,277
2015/03/01 00:00:00+00,67,1177,Single Youth 18 Under,278
2015/03/01 00:00:00+00,212,18676,Family Units,279
2015/03/01 00:00:00+00,269,19439,Family Households,280
2015/05/01 00:00:00+00,2014,40843,All Clients,281
2015/05/01 00:00:00+00,1336,23730,All Singles,282
2015/05/01 00:00:00+00,739,18230,Family Household Members,283
2015/05/01 00:00:00+00,682,17150,Family Member,284
2015/05/01 00:00:00+00,59,1117,Offsite/Overflow Singles,285
2015/05/01 00:00:00+00,806,14270,Mens Shelter,286
2015/05/01 00:00:00+00,220,3719,Womens Shelter,287
2015/05/01 00:00:00+00,273,2656,Mixed-Gender,288
2015/05/01 00:00:00+00,106,1968,Youth Shelter,289
2015/05/01 00:00:00+00,949,17035,Single Adult Males,290
2015/05/01 00:00:00+00,305,5236,Single Adult Females,291
2015/05/01 00:00:00+00,82,1459,Single Youth 18 Under,292
2015/05/01 00:00:00+00,187,17150,Family Units,293
2015/05/01 00:00:00+00,244,18230,Family Households,294
2015/11/01 00:00:00+00,2234,45449,All Clients,295
2015/11/01 00:00:00+00,1357,23519,All Singles,296
2015/11/01 00:00:00+00,933,22976,Family Household Members,297
2015/11/01 00:00:00+00,884,21934,Family Member,298
2015/11/01 00:00:00+00,50,1046,Offsite/Overflow Singles,299
2015/11/01 00:00:00+00,860,14345,Mens Shelter,300
2016/08/01 00:00:00+00,2443,48139,All Clients,301
2016/08/01 00:00:00+00,1432,24433,All Singles,302
2016/08/01 00:00:00+00,1093,25134,Family Household Members,303
2016/08/01 00:00:00+00,1014,23706,Family Member,304
2016/08/01 00:00:00+00,79,1428,Offsite/Overflow Singles,305
2016/08/01 00:00:00+00,861,13929,Mens Shelter,306
2016/08/01 00:00:00+00,198,3983,Womens Shelter,307
2016/08/01 00:00:00+00,336,3117,Mixed-Gender,308
2016/08/01 00:00:00+00,93,1976,Youth Shelter,309
2016/08/01 00:00:00+00,1028,17157,Single Adult Males,310
2016/08/01 00:00:00+00,317,5822,Single Adult Females,311
2016/08/01 00:00:00+00,87,1454,Single Youth 18 Under,312
2016/08/01 00:00:00+00,295,23706,Family Units,313
2016/08/01 00:00:00+00,373,25134,Family Households,314
2016/12/01 00:00:00+00,2513,52732,All Clients,315
2016/12/01 00:00:00+00,1369,24705,All Singles,316
2016/12/01 00:00:00+00,1238,30239,Family Household Members,317
2016/12/01 00:00:00+00,1144,28027,Family Member,318
2016/12/01 00:00:00+00,94,2212,Offsite/Overflow Singles,319
2016/12/01 00:00:00+00,854,14164,Mens Shelter,320
2016/12/01 00:00:00+00,200,3540,Womens Shelter,321
2016/12/01 00:00:00+00,278,2900,Mixed-Gender,322
2016/12/01 00:00:00+00,84,1889,Youth Shelter,323
2016/12/01 00:00:00+00,1004,17574,Single Adult Males,324
2016/12/01 00:00:00+00,285,5469,Single Adult Females,325
2016/12/01 00:00:00+00,80,1662,Single Youth 18 Under,326
2016/12/01 00:00:00+00,338,28027,Family Units,327
2016/12/01 00:00:00+00,431,30239,Family Households,328
2016/02/01 00:00:00+00,2037,40518,All Clients,329
2016/02/01 00:00:00+00,1278,22766,All Singles,330
2016/02/01 00:00:00+00,830,18860,Family Household Members,331
2016/02/01 00:00:00+00,766,17767,Family Member,332
2016/02/01 00:00:00+00,66,1108,Offsite/Overflow Singles,333
2016/02/01 00:00:00+00,808,13711,Mens Shelter,334
2016/02/01 00:00:00+00,199,3632,Womens Shelter,335
2016/02/01 00:00:00+00,243,2398,Mixed-Gender,336
2016/02/01 00:00:00+00,83,1917,Youth Shelter,337
2016/02/01 00:00:00+00,934,16304,Single Adult Males,338
2016/02/01 00:00:00+00,276,5205,Single Adult Females,339
2016/02/01 00:00:00+00,68,1257,Single Youth 18 Under,340
2016/02/01 00:00:00+00,227,17767,Family Units,341
2016/02/01 00:00:00+00,291,18860,Family Households,342
2016/01/01 00:00:00+00,2108,44183,All Clients,343
2016/01/01 00:00:00+00,1352,23872,All Singles,344
2016/01/01 00:00:00+00,824,21496,Family Household Members,345
2016/01/01 00:00:00+00,761,20328,Family Member,346
2016/01/01 00:00:00+00,64,1185,Offsite/Overflow Singles,347
2016/01/01 00:00:00+00,849,14738,Mens Shelter,348
2016/01/01 00:00:00+00,207,3762,Womens Shelter,349
2016/01/01 00:00:00+00,278,2287,Mixed-Gender,350
2015/12/01 00:00:00+00,53,1119,Offsite/Overflow Singles,351
2015/12/01 00:00:00+00,811,14460,Mens Shelter,352
2015/12/01 00:00:00+00,218,3875,Womens Shelter,353
2015/12/01 00:00:00+00,248,2347,Mixed-Gender,354
2015/12/01 00:00:00+00,108,1937,Youth Shelter,355
2015/12/01 00:00:00+00,936,16979,Single Adult Males,356
2015/12/01 00:00:00+00,297,5323,Single Adult Females,357
2015/12/01 00:00:00+00,95,1436,Single Youth 18 Under,358
2015/12/01 00:00:00+00,233,20626,Family Units,359
2015/12/01 00:00:00+00,285,21745,Family Households,360
2015/02/01 00:00:00+00,2105,40938,All Clients,361
2015/02/01 00:00:00+00,1287,22393,All Singles,362
2015/02/01 00:00:00+00,863,19419,Family Household Members,363
2015/02/01 00:00:00+00,824,18579,Family Member,364
2015/02/01 00:00:00+00,41,874,Offsite/Overflow Singles,365
2015/02/01 00:00:00+00,825,13704,Mens Shelter,366
2015/02/01 00:00:00+00,213,3872,Womens Shelter,367
2015/02/01 00:00:00+00,215,2248,Mixed-Gender,368
2015/02/01 00:00:00+00,92,1695,Youth Shelter,369
2015/02/01 00:00:00+00,941,16306,Single Adult Males,370
2015/02/01 00:00:00+00,280,4990,Single Adult Females,371
2015/02/01 00:00:00+00,66,1097,Single Youth 18 Under,372
2015/02/01 00:00:00+00,230,18579,Family Units,373
2015/02/01 00:00:00+00,269,19419,Family Households,374
2015/01/01 00:00:00+00,2160,47463,All Clients,375
2015/01/01 00:00:00+00,1295,25393,All Singles,376
2015/01/01 00:00:00+00,924,23056,Family Household Members,377
2015/01/01 00:00:00+00,872,22081,Family Member,378
2015/01/01 00:00:00+00,53,986,Offsite/Overflow Singles,379
2015/01/01 00:00:00+00,822,15549,Mens Shelter,380
2015/01/01 00:00:00+00,204,4363,Womens Shelter,381
2015/01/01 00:00:00+00,229,2666,Mixed-Gender,382
2015/01/01 00:00:00+00,98,1829,Youth Shelter,383
2015/01/01 00:00:00+00,948,18473,Single Adult Males,384
2015/01/01 00:00:00+00,279,5718,Single Adult Females,385
2015/01/01 00:00:00+00,68,1202,Single Youth 18 Under,386
2015/01/01 00:00:00+00,252,22081,Family Units,387
2015/01/01 00:00:00+00,304,23056,Family Households,388
2015/07/01 00:00:00+00,2195,43575,All Clients,389
2015/07/01 00:00:00+00,1342,23749,All Singles,390
2015/07/01 00:00:00+00,904,20794,Family Household Members,391
2015/07/01 00:00:00+00,854,19857,Family Member,392
2015/07/01 00:00:00+00,51,968,Offsite/Overflow Singles,393
2015/07/01 00:00:00+00,823,14170,Mens Shelter,394
2015/07/01 00:00:00+00,218,3748,Womens Shelter,395
2015/07/01 00:00:00+00,265,2944,Mixed-Gender,396
2015/07/01 00:00:00+00,99,1919,Youth Shelter,397
2015/07/01 00:00:00+00,955,17187,Single Adult Males,398
2015/07/01 00:00:00+00,300,5180,Single Adult Females,399
2015/07/01 00:00:00+00,87,1382,Single Youth 18 Under,400
2018/12/01 00:00:00+00,3034,68284,All Clients,401
2018/12/01 00:00:00+00,1452,25895,All Singles,402
2018/12/01 00:00:00+00,1612,42963,Family Household Members,403
2018/12/01 00:00:00+00,1585,42389,Family Member,404
2018/12/01 00:00:00+00,27,574,Offsite/Overflow Singles,405
2018/12/01 00:00:00+00,930,15938,Mens Shelter,406
2018/12/01 00:00:00+00,205,4243,Womens Shelter,407
2018/12/01 00:00:00+00,354,3065,Mixed-Gender,408
2018/12/01 00:00:00+00,89,2075,Youth Shelter,409
2018/12/01 00:00:00+00,1056,18364,Single Adult Males,410
2018/12/01 00:00:00+00,310,5663,Single Adult Females,411
2018/12/01 00:00:00+00,86,1868,Single Youth 18 Under,412
2018/12/01 00:00:00+00,458,42389,Family Units,413
2018/12/01 00:00:00+00,484,42963,Family Households,414
2018/02/01 00:00:00+00,2602,54246,All Clients,415
2018/02/01 00:00:00+00,1328,22714,All Singles,416
2018/02/01 00:00:00+00,1312,32085,Family Household Members,417
2018/02/01 00:00:00+00,1281,31532,Family Member,418
2018/02/01 00:00:00+00,31,553,Offsite/Overflow Singles,419
2018/02/01 00:00:00+00,822,13397,Mens Shelter,420
2018/02/01 00:00:00+00,208,3794,Womens Shelter,421
2018/02/01 00:00:00+00,316,3214,Mixed-Gender,422
2018/02/01 00:00:00+00,75,1756,Youth Shelter,423
2018/02/01 00:00:00+00,950,15905,Single Adult Males,424
2018/02/01 00:00:00+00,318,5581,Single Adult Females,425
2018/02/01 00:00:00+00,60,1228,Single Youth 18 Under,426
2018/02/01 00:00:00+00,370,31532,Family Units,427
2018/02/01 00:00:00+00,400,32085,Family Households,428
2018/01/01 00:00:00+00,2635,59335,All Clients,429
2018/01/01 00:00:00+00,1347,25157,All Singles,430
2018/01/01 00:00:00+00,1323,34760,Family Household Members,431
2018/01/01 00:00:00+00,1293,34178,Family Member,432
2018/01/01 00:00:00+00,30,582,Offsite/Overflow Singles,433
2018/01/01 00:00:00+00,845,15159,Mens Shelter,434
2018/01/01 00:00:00+00,227,4267,Womens Shelter,435
2018/01/01 00:00:00+00,330,3145,Mixed-Gender,436
2018/01/01 00:00:00+00,80,2004,Youth Shelter,437
2018/01/01 00:00:00+00,971,17693,Single Adult Males,438
2018/01/01 00:00:00+00,315,6092,Single Adult Females,439
2018/01/01 00:00:00+00,61,1372,Single Youth 18 Under,440
2018/01/01 00:00:00+00,376,34178,Family Units,441
2018/01/01 00:00:00+00,405,34760,Family Households,442
2018/07/01 00:00:00+00,2993,65295,All Clients,443
2018/07/01 00:00:00+00,1414,24510,All Singles,444
2018/07/01 00:00:00+00,1609,41387,Family Household Members,445
2018/07/01 00:00:00+00,1584,40785,Family Member,446
2018/07/01 00:00:00+00,25,602,Offsite/Overflow Singles,447
2018/07/01 00:00:00+00,876,14687,Mens Shelter,448
2018/07/01 00:00:00+00,234,4374,Womens Shelter,449
2018/07/01 00:00:00+00,329,2929,Mixed-Gender,450
2017/06/01 00:00:00+00,389,34887,Family Units,451
2017/06/01 00:00:00+00,423,35516,Family Households,452
2017/03/01 00:00:00+00,2502,53760,All Clients,453
2017/03/01 00:00:00+00,1343,24368,All Singles,454
2017/03/01 00:00:00+00,1208,30392,Family Household Members,455
2017/03/01 00:00:00+00,1164,29392,Family Member,456
2017/03/01 00:00:00+00,44,1000,Offsite/Overflow Singles,457
2017/03/01 00:00:00+00,819,14222,Mens Shelter,458
2017/03/01 00:00:00+00,210,3960,Womens Shelter,459
2017/03/01 00:00:00+00,328,3191,Mixed-Gender,460
2017/03/01 00:00:00+00,84,1995,Youth Shelter,461
2017/03/01 00:00:00+00,976,17452,Single Adult Males,462
2017/03/01 00:00:00+00,309,5630,Single Adult Females,463
2017/03/01 00:00:00+00,58,1286,Single Youth 18 Under,464
2017/03/01 00:00:00+00,341,29392,Family Units,465
2017/03/01 00:00:00+00,384,30392,Family Households,466
2017/05/01 00:00:00+00,2664,59105,All Clients,467
2017/05/01 00:00:00+00,1397,23881,All Singles,468
2017/05/01 00:00:00+00,1303,35843,Family Household Members,469
2017/05/01 00:00:00+00,1271,35224,Family Member,470
