Topic,Sector,Period,Question,Response,Denominator,Numerator,Percent
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Other,248,34,13.7
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Pets,137,6,4
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Pets,248,2,0.8
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Poor housing conditions,137,10,7
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Poor housing conditions,248,26,10.5
Challenges and supports,Family,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Rents too high,137,85,62
Challenges and supports,Family,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Rents too high,248,190,76.6
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Access to Facilities,248,44,17.7
Challenges and supports,Family,October 2021,3. What would you need support with to help you through your housing journey?,Addiction or substance use,137,6,4.4
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Addiction or substance use,248,5,2.0
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Cultural Supports,248,71,28.6
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Disability Support,248,0,9.3
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Family Supports,248,136,54.8
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Financial Supports,248,175,70.6
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Food Security,248,165,66.5
Challenges and supports,Family,October 2021,3. What would you need support with to help you through your housing journey?,Learning disability,137,9,6.6
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Legal Aid,248,79,31.9
Challenges and supports,Family,October 2021,3. What would you need support with to help you through your housing journey?,Medical condition,137,20,14.6
Challenges and supports,Family,October 2021,3. What would you need support with to help you through your housing journey?,Mental health,137,35,25.5
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Mental health,248,39,15.7
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Newcomer/Refugee Supports,248,127,51.2
Challenges and supports,Family,October 2021,3. What would you need support with to help you through your housing journey?,None of the above,137,69,50.4
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,None of the above,248,4,1.6
Challenges and supports,Family,October 2021,3. What would you need support with to help you through your housing journey?,Other,137,6,4.4
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Other,248,0,0.0
Challenges and supports,Family,October 2021,3. What would you need support with to help you through your housing journey?,Pregnancy,137,9,6.6
Challenges and supports,Family,October 2024,3. What would you need support with to help you through your housing journey?,Supportive Housing,248,143,57.7
Challenges and supports,Single,October 2021,1. Do you want to get into permanent housing?,No,937,35,4
Challenges and supports,Single,October 2021,1. Do you want to get into permanent housing?,Yes,937,859,92
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Addiction,937,242,26
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Addiction,1649,355,21.5
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Children,937,16,2
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Children,1649,28,1.7
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Credit checks,937,24,3
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Credit checks,1649,0,0.0
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Criminal history,937,155,17
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Criminal history,1649,170,10.3
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Discrimination,937,188,20
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Discrimination,1649,186,11.3
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Domestic violence,937,69,7
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Domestic violence,1649,88,5.3
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Don't want housing,937,10,1
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Don't want housing,1649,31,1.9
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Family conflict,937,96,10
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Family conflict,1649,182,11.0
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Health/disability,937,111,12
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Health/disability,1649,181,11.0
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Lack of housing stock,937,17,2
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Lack of housing stock,1649,0,0.0
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Lack of support,937,44,5
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Lack of support,1649,354,21.5
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Low income,937,551,59
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Low income,1649,981,59.5
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Mental health,937,209,22
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Mental health,1649,299,18.1
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,No income assistance,937,168,18
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,No income assistance,1649,418,25.3
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Pets,937,36,4
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Pets,1649,41,2.5
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Poor housing conditions,937,199,21
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Poor housing conditions,1649,306,18.6
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Rents too high,937,570,61
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Rents too high,1649,943,57.2
Challenges and supports,Single,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Wait list for subsidized housing,937,26,3
Challenges and supports,Single,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Wait list for subsidized housing,1649,0,0.0
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Access to Facilities,1649,536,32.5
Challenges and supports,Single,October 2021,3. What would you need support with to help you through your housing journey?,Addiction or substance use,937,327,34.9
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Addiction or substance use,1649,527,32.0
Challenges and supports,Single,October 2021,3. What would you need support with to help you through your housing journey?,Brain injury,937,60,6.4
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Cultural Supports,1649,329,20.0
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Disability Support,1649,411,24.9
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Family Supports,1649,400,24.3
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Financial Supports,1649,858,52.0
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Food Security,1649,758,46.0
Challenges and supports,Single,October 2021,3. What would you need support with to help you through your housing journey?,Learning disability,937,74,7.9
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Legal Aid,1649,440,26.7
Challenges and supports,Single,October 2021,3. What would you need support with to help you through your housing journey?,Medical condition,937,183,19.5
Challenges and supports,Single,October 2021,3. What would you need support with to help you through your housing journey?,Mental health,937,383,40.9
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Mental health,1649,635,38.5
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Newcomer/Refugee Supports,1649,351,21.3
Challenges and supports,Single,October 2021,3. What would you need support with to help you through your housing journey?,None of the above,937,300,32
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,None of the above,1649,49,3.0
Challenges and supports,Single,October 2021,3. What would you need support with to help you through your housing journey?,Physical disability,937,111,11.8
Challenges and supports,Single,October 2021,3. What would you need support with to help you through your housing journey?,Pregnancy,937,8,0.9
Challenges and supports,Single,October 2024,3. What would you need support with to help you through your housing journey?,Supportive Housing,1649,843,51.1
Challenges and supports,Youth,October 2021,1. Do you want to get into permanent housing?,No,134,2,2
Challenges and supports,Youth,October 2021,1. Do you want to get into permanent housing?,Yes,134,130,97
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Addiction,134,24,17.9
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Addiction,265,33,12.5
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Criminal history,134,14,10.4
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Criminal history,265,8,3.0
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Discrimination,134,24,17.9
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Discrimination,265,27,10.2
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Domestic violence,134,8,6
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Domestic violence,265,20,7.5
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Family conflict,134,29,21.6
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Family conflict,265,38,14.3
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Health/disability,134,15,11.2
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Health/disability,265,13,4.9
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Lack of support,134,6,4.5
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Lack of support,265,49,18.5
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Low income,134,87,64.9
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Low income,265,151,57.0
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Mental health,134,36,26.9
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Mental health,265,46,17.4
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,No income assistance,134,19,14.2
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,No income assistance,265,64,24.2
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Other,134,14,10.4
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Other,265,19,7.2
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Poor housing conditions,134,25,18.7
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Poor housing conditions,265,43,16.2
Challenges and supports,Youth,October 2021,2. What challenges or problems have you experienced when trying to find housing?,Rents too high,134,77,57.5
Challenges and supports,Youth,October 2024,2. What challenges or problems have you experienced when trying to find housing?,Rents too high,265,127,47.9
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Access to Facilities,265,64,24.2
Challenges and supports,Youth,October 2021,3. What would you need support with to help you through your housing journey?,Addiction or substance use,134,26,19.4
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Addiction or substance use,265,35,13.2
Challenges and supports,Youth,October 2021,3. What would you need support with to help you through your housing journey?,Brain injury,134,8,6
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Cultural Supports,265,44,16.6
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Disability Support,265,20,7.5
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Family Supports,265,35,13.2
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Financial Supports,265,135,50.9
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Food Security,265,107,40.4
Challenges and supports,Youth,October 2021,3. What would you need support with to help you through your housing journey?,Learning disability,134,22,16.4
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Legal Aid,265,56,21.1
Challenges and supports,Youth,October 2021,3. What would you need support with to help you through your housing journey?,Medical condition,134,15,11.2
Challenges and supports,Youth,October 2021,3. What would you need support with to help you through your housing journey?,Mental health,134,57,42.5
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Mental health,265,85,32.1
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Newcomer/Refugee Supports,265,64,24.2
Challenges and supports,Youth,October 2021,3. What would you need support with to help you through your housing journey?,None of the above,134,52,38.8
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,None of the above,265,8,3.0
Challenges and supports,Youth,October 2021,3. What would you need support with to help you through your housing journey?,Physical disability,134,6,4.5
Challenges and supports,Youth,October 2024,3. What would you need support with to help you through your housing journey?,Supportive Housing,265,123,46.4
Demographics,All,October 2021,1. What gender do you identify with?,Men,1340,833,62.2
Demographics,All,April 2018,1. What gender do you identify with?,Men,1400,841,60.1
Demographics,All,October 2024,1. What gender do you identify with?,Men,2595,1444,55.6
Demographics,All,October 2021,1. What gender do you identify with?,Non-binary and other identities,1340,39,2.9
Demographics,All,April 2018,1. What gender do you identify with?,Non-binary and other identities,1400,31,2.2
Demographics,All,October 2024,1. What gender do you identify with?,Non-binary and other identities,2595,55,2.1
Demographics,All,October 2021,1. What gender do you identify with?,Women,1340,448,33.4
Demographics,All,April 2018,1. What gender do you identify with?,Women,1400,509,36.4
Demographics,All,October 2024,1. What gender do you identify with?,Women,2595,921,35.5
Demographics,All,October 2021,2. How old are you?,13 to 18 years old,1340,34,2.5
Demographics,All,April 2018,2. How old are you?,13 to 18 years old,1400,64,4.6
Demographics,All,October 2024,2. How old are you?,13 to 18 years old,2595,24,0.9
Demographics,All,October 2021,2. How old are you?,18 to 24 years old,1340,133,9.9
Demographics,All,April 2018,2. How old are you?,18 to 24 years old,1400,123,8.8
Demographics,All,October 2024,2. How old are you?,18 to 24 years old,2595,306,11.8
Demographics,All,October 2021,2. How old are you?,25 to 49 years old,1340,802,59.9
Demographics,All,April 2018,2. How old are you?,25 to 49 years old,1400,822,58.7
Demographics,All,October 2024,2. How old are you?,25 to 49 years old,2595,1462,56.3
Demographics,All,October 2021,2. How old are you?,50 to 64 years old,1340,305,22.8
Demographics,All,April 2018,2. How old are you?,50 to 64 years old,1400,323,23.1
Demographics,All,October 2024,2. How old are you?,50 to 64 years old,2595,489,18.8
Demographics,All,October 2021,2. How old are you?,Over 65 years old,1340,55,4.1
Demographics,All,April 2018,2. How old are you?,Over 65 years old,1400,42,3.0
Demographics,All,October 2024,2. How old are you?,Over 65 years old,2595,101,3.9
Demographics,All,October 2021,3. Do you identify with any racial identities?,Non-racialized,1340,472,35.2
Demographics,All,April 2018,3. Do you identify with any racial identities?,Non-racialized,1400,667,47.6
Demographics,All,October 2024,3. Do you identify with any racial identities?,Non-racialized,2595,765,29.5
Demographics,All,October 2021,3. Do you identify with any racial identities?,Racialized,1340,732,54.6
Demographics,All,April 2018,3. Do you identify with any racial identities?,Racialized,1400,673,48.1
Demographics,All,October 2024,3. Do you identify with any racial identities?,Racialized,2595,1458,56.2
Demographics,All,October 2021,4. How do you describe your sexual orientation?,Don't know,1340,56,4.2
Demographics,All,October 2024,4. How do you describe your sexual orientation?,Don't know,2595,23,0.9
Demographics,All,October 2021,4. How do you describe your sexual orientation?,"Gay, lesbian and other",1340,153,11.4
Demographics,All,April 2018,4. How do you describe your sexual orientation?,"Gay, lesbian and other",1400,124,8.9
Demographics,All,October 2024,4. How do you describe your sexual orientation?,"Gay, lesbian and other",2595,285,11.0
Demographics,All,October 2021,4. How do you describe your sexual orientation?,Heterosexual,1340,1131,84.4
Demographics,All,April 2018,4. How do you describe your sexual orientation?,Heterosexual,1400,1216,86.9
Demographics,All,October 2024,4. How do you describe your sexual orientation?,Heterosexual,2595,1971,76.0
Demographics,All,April 2018,5. How long have you been in Ottawa?,1 to 5 years,1400,226,16.1
Demographics,All,April 2018,5. How long have you been in Ottawa?,Always been in Ottawa,1400,281,20.1
Demographics,All,April 2018,5. How long have you been in Ottawa?,Over 5 years,1400,390,27.9
Demographics,All,April 2018,5. How long have you been in Ottawa?,Under 1 year,1400,448,32.0
Demographics,All,October 2021,5. What is the highest level of education you completed?,High school graduate,1340,357,26.6
Demographics,All,October 2024,5. What is the highest level of education you completed?,High school graduate,2595,736,28.4
Demographics,All,October 2021,5. What is the highest level of education you completed?,Less than high school,1340,513,38.3
Demographics,All,October 2024,5. What is the highest level of education you completed?,Less than high school,2595,689,26.6
Demographics,All,October 2021,5. What is the highest level of education you completed?,Post-secondary or higher,1340,253,18.9
Demographics,All,October 2024,5. What is the highest level of education you completed?,Post-secondary or higher,2595,652,25.1
Demographics,All,October 2021,5. What is the highest level of education you completed?,Some post-secondary,1340,183,13.7
Demographics,All,October 2024,5. What is the highest level of education you completed?,Some post-secondary,2595,237,9.1
Demographics,All,April 2018,6. Have you ever served in the Canadian Military and/or RCMP?,Did not serve in Canadian military and/or RCMP,1400,1311,93.6
Demographics,All,April 2018,6. Have you ever served in the Canadian Military and/or RCMP?,Served in Canadian military and/or RCMP,1400,65,4.6
Demographics,All,October 2021,6. How long have you been in Ottawa?,1 to 5 years,1340,202,15.1
Demographics,All,October 2024,6. How long have you been in Ottawa?,1 to 5 years,2595,441,17.0
Demographics,All,October 2021,6. How long have you been in Ottawa?,Always been in Ottawa,1340,316,23.6
Demographics,All,October 2024,6. How long have you been in Ottawa?,Always been in Ottawa,2595,712,27.4
Demographics,All,October 2021,6. How long have you been in Ottawa?,Over 5 years,1340,451,33.7
Demographics,All,October 2024,6. How long have you been in Ottawa?,Over 5 years,2595,246,9.5
Demographics,All,October 2021,6. How long have you been in Ottawa?,Under 1 year,1340,333,24.9
Demographics,All,October 2024,6. How long have you been in Ottawa?,Under 1 year,2595,842,32.4
Demographics,All,October 2024,6a. In what language do you feel best able to express yourself?,English,2595,1686,65.0
Demographics,All,October 2024,6a. In what language do you feel best able to express yourself?,French,2595,387,14.9
Demographics,All,October 2024,6a. In what language do you feel best able to express yourself?,Neither English or French,2595,200,7.7
Demographics,All,October 2024,6a. In what language do you feel best able to express yourself?,No preference,2595,59,2.3
Demographics,All,April 2018,7. In what language do you feel best able to express yourself?,English,1400,1004,71.7
Demographics,All,April 2018,7. In what language do you feel best able to express yourself?,French,1400,191,13.6
Demographics,All,April 2018,7. In what language do you feel best able to express yourself?,Neither English or French,1400,100,7.1
